Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Aeugst am Albis,8914,0,Aeugst am Albis,1,ZH,679434.962896186,235653.346922884,de
Aeugstertal,8914,2,Aeugst am Albis,1,ZH,679814.637160994,237410.374521293,de
Zwillikon,8909,0,Affoltern am Albis,2,ZH,675103.689602986,237890.633039804,de
Affoltern am Albis,8910,0,Affoltern am Albis,2,ZH,676438.541832677,236966.517090431,de
Bonstetten,8906,0,Bonstetten,3,ZH,677797.725232999,241025.046148934,de
Sihlbrugg,6340,4,Hausen am Albis,4,ZH,686081.597615286,230649.332129803,de
Langnau am Albis,8135,0,Hausen am Albis,4,ZH,682030.992548447,235595.0114505,de
Hausen am Albis,8915,0,Hausen am Albis,4,ZH,682995.509987108,232961.759781232,de
Ebertswil,8925,0,Hausen am Albis,4,ZH,684167.890282268,231176.771510421,de
Hedingen,8908,0,Hedingen,5,ZH,676517.676237312,239054.466568435,de
Kappel am Albis,8926,0,Kappel am Albis,6,ZH,682260.761995205,231284.549420642,de
Hauptikon,8926,2,Kappel am Albis,6,ZH,680022.59453115,231589.836297401,de
Uerzlikon,8926,3,Kappel am Albis,6,ZH,680340.155002545,230665.237754238,de
Knonau,8934,0,Knonau,7,ZH,677401.728991291,230822.035181697,de
Maschwanden,8933,0,Maschwanden,8,ZH,674784.841277124,232061.230106629,de
Mettmenstetten,8932,0,Mettmenstetten,9,ZH,677612.911700686,232937.915265813,de
Affoltern am Albis,8910,0,Obfelden,10,ZH,675664.369121732,236090.159398569,de
Obfelden,8912,0,Obfelden,10,ZH,674500.744424522,235213.821989168,de
Ottenbach,8913,0,Ottenbach,11,ZH,673059.358802813,237324.527898245,de
Rifferswil,8911,0,Rifferswil,12,ZH,680091.921120417,233046.280923948,de
Adliswil,8134,0,Stallikon,13,ZH,680695.890735343,240685.109000948,de
Stallikon,8143,0,Stallikon,13,ZH,679550.326887137,242199.513155609,de
Uetliberg,8143,2,Stallikon,13,ZH,679541.345843347,244825.110815135,de
Wettswil,8907,0,Wettswil am Albis,14,ZH,678320.445174158,243534.749984595,de
Benken ZH,8463,0,Benken (ZH),22,ZH,691309.367318427,278717.29544785,de
Berg am Irchel,8415,0,Berg am Irchel,23,ZH,687248.10453573,269506.199543846,de
Gräslikon,8415,1,Berg am Irchel,23,ZH,687806.831584754,268053.093499668,de
Buch am Irchel,8414,0,Buch am Irchel,24,ZH,689122.374441245,267148.049827677,de
Dachsen,8447,0,Dachsen,25,ZH,688269.003972447,280253.843245189,de
Dorf,8458,0,Dorf,26,ZH,690994.780114983,269698.929017352,de
Feuerthalen,8245,0,Feuerthalen,27,ZH,690269.582109606,282950.489119925,de
Langwiesen,8246,0,Feuerthalen,27,ZH,691949.375632311,282201.956903685,de
Flaach,8416,0,Flaach,28,ZH,687596.629036103,269830.770262257,de
Flurlingen,8247,0,Flurlingen,29,ZH,689291.861595587,282181.870214393,de
Henggart,8444,0,Henggart,31,ZH,693668.962763508,268741.924975457,de
