"Gemeindeverwaltung Aadorf","Aadorf","gemeindeverwaltung@aadorf.ch","052 368 48 48","8355","Gemeindeplatz","1","http://www.aadorf.ch"
"Stadt Aarberg","Aarberg","info@aarberg.ch","+41 32 391 25 20","3270","Stadtplatz","46","http://www.aarberg.ch"
"Gemeinde Aarburg","Aarburg","info@aarburg.ch","062 787 14 20","4663","Städtchen","37","http://www.aarburg.ch"
"Gemeindeverwaltung Abtwil","Abtwil","gemeinde@abtwilag.ch ","041 788 08 00 ","5646","Schulhausstrasse","2","http://www.abtwilag.ch"
"Municipio di Acquarossa","Acquarossa","cancelleria@acquarossa.ch","091 871 11 81","6716","Via Bosco Ciossera","","http://www.acquarossa.ch/"
"Commune d'Aclens","Aclens","commune@aclens.ch ","021 869 93 58","1123","La Ferme de Commune ","","http://www.aclens.ch/"
"Stadtverwaltung Aarau","Aarau","info@aarau.ch","062 836 06 21","5000","Rathausgasse","1","http://www.aarau.ch"
"Gemeindeverwaltung","Adelboden","info@3715.ch ","033 673 82 10","3715","Zelgstrasse","3","http://www.3715.ch/startseite.html"
"Gemeindeverwaltung","Aarwangen","gemeindeschreiberei@aarwangen.ch","062 926 63 00   ","4912","Langenthalstrasse","4","http://www.aarwangen.ch"
"Gemeinde Adligenswil","Adligenswil","info@adligenswil.ch","041 375 77 77","6043","Dorfstr.","4","http://www.adligenswil.ch"
"Gemeindeverwaltung","Aefligen","gemeinde@aefligen.ch  ","034 445 23 93 ","3426","Fraubrunnenstr.","3","http://www.aefligen.ch/"
"Gemeinde Aedermannsdorf","Aedermannsdorf","vw@aedermannsdorf.ch ","062 394 10 70","4714","Dorfstr.","201","http://www.aedermannsdorf.ch"
"Gemeindezentrum","Aesch (BL)","gemeindeverwaltung@aesch.bl.ch","061 756 77 77","4147","Hauptstr.","23","http://www.aesch.bl.ch"
"Gemeindeverwaltung","Aeschi (SO)","schreiberei.aeschi@besonet.ch","062 955 70 80","4556","Schulhausstrasse","8","http://www.aeschi-so.ch"
"Gemeinde Aesch (ZH)","Aesch (ZH)","gemeinde@aesch-zh.ch","043 344 10 10","8904","Dorfstr.","3","http://www.aesch-zh.ch/de/"
"Gemeindeverwaltung","Aeschi bei Spiez","info@aeschi.ch ","033 654 37 77","3703","Scheidgasse","2","http://www.aeschi.ch/home/"
"Gemeindeverwaltung Aesch (LU)","Aesch (LU)","gemeinde@aesch-lu.ch","041 917 13 46","6287","Kreuzplatz","","http://www.aesch-lu.ch"
"Gemeindeverwaltung Aegerten","Aegerten","gemeinde@aegerten.ch","032 374 74 00","2558","Schulstrasse","3","http://www.aegerten.ch"
"Stadt Adliswil","Adliswil","adliswil@adliswil.ch","044 711 77 1","8134","Zürichstr.","12","http://www.adliswil.ch"
