BFS-Nummer,Gemeindenamen,Website
1,Aeugst am Albis,https://www.aeugst-albis.ch/
2,Affoltern am Albis,https://www.stadtaffoltern.ch/
3,Bonstetten,https://www.bonstetten.ch/
4,Hausen am Albis,https://www.hausen.ch/
5,Hedingen,https://www.hedingen.ch/
6,Kappel am Albis,https://www.kappel-am-albis.ch/
7,Knonau,https://www.knonau.ch/
8,Maschwanden,https://www.maschwanden.ch/
9,Mettmenstetten,https://www.mettmenstetten.ch/
10,Obfelden,https://www.obfelden.ch/
11,Ottenbach,https://www.ottenbach.ch/
12,Rifferswil,https://www.rifferswil.ch/
13,Stallikon,https://www.stallikon.ch/
14,Wettswil am Albis,https://www.wettswil.ch/
22,Benken (ZH),https://www.benken-zh.ch/
23,Berg am Irchel,https://www.berg-am-irchel.ch/
24,Buch am Irchel,https://www.buchamirchel.ch/
25,Dachsen,https://www.dachsen.ch/
26,Dorf,https://www.dorf.ch/
27,Feuerthalen,https://www.feuerthalen.ch/
28,Flaach,https://www.flaach.ch/
29,Flurlingen,https://www.flurlingen.ch/
31,Henggart,https://www.henggart.ch/
33,Kleinandelfingen,https://www.kleinandelfingen.ch/
34,Laufen-Uhwiesen,https://www.laufen-uhwiesen.ch/
35,Marthalen,https://www.marthalen.ch/
37,Ossingen,https://www.ossingen.ch/
38,Rheinau,https://www.rheinau.ch/
39,Thalheim an der Thur,https://www.thalheim.ch/
40,Trüllikon,https://www.truellikon.ch/
41,Truttikon,https://www.truttikon.ch/
43,Volken,https://www.volken.ch/
51,Bachenbülach,https://www.bachenbuelach.ch/
52,Bassersdorf,https://www.bassersdorf.ch/
53,Bülach,https://www.buelach.ch/
54,Dietlikon,https://www.dietlikon.ch/
55,Eglisau,https://www.eglisau.ch/
56,Embrach,https://www.embrach.ch/
57,Freienstein-Teufen,https://www.freienstein-teufen.ch/
58,Glattfelden,https://www.glattfelden.ch/
59,Hochfelden,https://www.hochfelden.ch/
60,Höri,https://www.hoeri.ch/
61,Hüntwangen,https://www.huentwangen.ch/
62,Kloten,https://www.kloten.ch/
63,Lufingen,https://www.lufingen.ch/
64,Nürensdorf,https://www.nuerensdorf.ch/
65,Oberembrach,https://www.oberembrach.ch/
66,Opfikon,https://www.opfikon.ch/
67,Rafz,https://www.rafz.ch/
68,Rorbas,https://www.rorbas.ch/
69,Wallisellen,https://www.wallisellen.ch/
70,Wasterkingen,https://www.wasterkingen.ch/
71,Wil (ZH),https://www.wil-zh.ch/
72,Winkel,https://www.winkel.ch/
81,Bachs,https://www.bachs.ch/
82,Boppelsen,https://www.boppelsen.ch/
83,Buchs (ZH),https://www.buchs-zh.ch/
84,Dällikon,https://www.daellikon.ch/
85,Dänikon,https://www.daenikon.ch/
86,Dielsdorf,https://www.dielsdorf.ch/
87,Hüttikon,https://www.huettikon.ch/
88,Neerach,https://www.neerach.ch/
89,Niederglatt,https://www.niederglatt.zh.ch/
90,Niederhasli,https://www.niederhasli.ch/
91,Niederweningen,https://www.niederweningen.ch/
92,Oberglatt,https://www.oberglatt.ch/
93,Oberweningen,https://www.oberweningen.ch/
94,Otelfingen,https://www.otelfingen.ch/
95,Regensberg,https://www.regensberg.ch/
96,Regensdorf,https://www.regensdorf.ch/
97,Rümlang,https://www.ruemlang.ch/
98,Schleinikon,https://www.schleinikon.ch/
99,Schöfflisdorf,https://www.schoefflisdorf.ch/
100,Stadel,https://www.stadel.zh.ch/
