vse_id,name,zip_code,city
100000,Alpiq AG,4601,Olten
100010,Technische Betriebe Glarus,8750,Glarus
100020,eug Elektra Untergäu,4616,Kappel
100030,Elektra Widen Betriebs AG,8967,Widen
100040,"Gemeinde Männedorf, Energieversorgung",8708,Männedorf
100050,IB Langenthal AG,4900,Langenthal
100060,Regionalwerke AG Baden,5401,Baden
100070,Technische Betriebe Würenlos,5436,Würenlos
100080,Gemeindewerke Galgenen,8854,Galgenen
100090,die werke versorgung wallisellen ag,8304,Wallisellen
100100,Elektrizitätswerk Rümlang Genossenschaft,8153,Rümlang
100110,Technische Werke Eschlikon,8360,Eschlikon TG
100120,Technische Betriebe Glarus Nord,8752,Näfels
100130,Elektrizitätsversorgung Muhen,5037,Muhen
100140,Gemeindewerke Villmergen,5612,Villmergen
100150,Aziende Municipalizzate Stabio - AMS,6855,Stabio
100160,tbgs - Technische Betriebe Glarus Süd,8762,Schwanden
100170,Verband Schweizerischer Elektrizitätsunternehmen VSE,5000,Aarau
100180,MFEnergie,8877,Murg
100190,AET Azienda Elettrica Ticinese,6513,Monte Carasso
100200,Elektrizitätsversorgung Lotzwil,4932,Lotzwil
100210,EW Höfe AG,8807,Freienbach
100220,Gemeindewerke Fällanden,8117,Fällanden
100230,Azienda Multiservizi Bellinzona (AMB),6500,Bellinzona
100240,VO Energies Distribution SA,1350,Orbe
100250,Elektrizitätswerk Ermatingen,8272,Ermatingen
100260,Technische Betriebe der Gemeinde Sulgen,8583,Sulgen
100270,Forces Motrices de l'Avançon SA,1880,Bex
100280,EW Jaun Energie AG,1656,Jaun
100290,Société Electrique Intercommunale de la Côte SA (SEIC),1196,Gland
100300,Technische Betriebe Flawil,9230,Flawil
100310,EWA-energieUri AG,6460,Altdorf
100320,Technische Betriebe Rorschach,9400,Rorschach
100330,Elektrizitäts- und Wasserwerk Sevelen,9475,Sevelen
100340,Technische Betriebe Waldkirch,9205,Waldkirch
100350,Technische Betriebe Glarus Nord,8752,Näfels
100360,CKW AG,6015,Luzern
100370,Werke Wangen-Brüttisellen,8306,Brüttisellen
100380,Kantonales Elektrizitätswerk Nidwalden,6371,Stans
100390,Gemeindewerke Schübelbach,8862,Schübelbach
100400,rwt Regionalwerk Toggenburg AG,9602,Bazenheid
100410,Romande Energie SA,1110,Morges
100420,Société anonyme d'Electricité d'Ardon,1957,Ardon
100430,Technische Gemeindebetriebe TGB,9220,Bischofszell
100440,Service de l'Electricité SEB,1030,Bussigny
100450,Martin Zeller AG Flums,8890,Flums
100460,Wasser- & Elektrizitätswerk Steinhausen,6312,Steinhausen
100470,Arbon Energie AG,9320,Arbon
100480,energia alpina,7188,Sedrun
100490,EBL (Genossenschaft Elektra Baselland),4410,Liestal
100500,Energie Uster AG,8610,Uster
100510,Elektrizitätsversorgung Mörschwil,9402,Mörschwil
100520,Gemeindebetriebe Aarwangen,4912,Aarwangen
100530,EKT Energie AG,9320,Arbon
100540,SWL Energie AG,5600,Lenzburg
100550,Rabiosa Energie,7075,Churwalden
100560,Elektrizitätsversorgung Würenlingen,5303,Würenlingen
100570,Elektra Zihlschlacht Riet,8588,Zihlschlacht
100580,Elektra Haeuslenen,8522,Häuslenen
100590,Elektra Unterlunkhofen,8918,Unterlunkhofen
100600,Technische Gemeindebetriebe Hauptwil-Gottshaus,9213,Hauptwil
100610,NetZulg AG,3612,Steffisburg
100620,Technische Betriebe Altstätten,9450,Altstätten
100630,Groupe E SA,1763,Granges-Paccot
100640,Groupe E SA,2035,Corcelles NE
100650,Elektra Walzenhausen,9428,Walzenhausen
100660,Services Industriels de Nyon,1260,Nyon
100670,EW GOMS Energie AG,3995,Ernen
100680,AG Kraftwerk Wägital,8854,Siebnen
100690,Energie Service Biel / Bienne,2500,Biel/Bienne
100700,St. Moritz Energie,7500,St. Moritz
100710,EW Aadorf,8355,Aadorf
100720,Regio Energie Solothurn,4502,Solothurn
100730,Technische Betriebe Glarus Nord,8752,Näfels
